aerolinea,origen,destino,retraso,distancia_km,fecha_partida,dia_semana,hora_salida,Time,fecha_hora_clima,temperatura,velocidad_viento,precipitacion,visibilidad
OO,EGE,DEN,1,706.6667,2018-12-21 12:35:00,1,12:35:00,755,2018-12-21 12:00:00,-8.5,4.5,0.0,6000
MQ,DFW,CLE,0,1933.3334,2018-12-29 18:45:00,3,18:45:00,1125,2018-12-29 18:00:00,4.6,17.1,0.0,6000
UA,DEN,SAN,0,1960.0,2018-12-13 19:10:00,1,19:10:00,1150,2018-12-13 19:00:00,3.8,7.2,0.0,10000
MQ,XNA,ORD,0,1400.0,2018-12-28 11:15:00,7,11:15:00,675,2018-12-28 11:00:00,-3.3,12.9,0.0,10000
AA,BWI,MIA,0,2333.3333,2018-12-15 15:30:00,2,15:30:00,930,2018-12-15 15:00:00,11.1,17.7,4.9,4000
WN,LAS,ONT,1,733.3333,2018-12-29 19:00:00,1,19:00:00,1140,2018-12-29 19:00:00,6.9,13.5,0.0,10000
AA,DFW,TUS,0,1866.6666,2018-12-08 16:55:00,3,16:55:00,1015,2018-12-08 16:00:00,5.3,21.8,0.3,6000
XE,MHT,CLE,0,1426.6666,2018-12-16 17:17:00,7,17:17:00,1037,2018-12-16 17:00:00,2.6,12.1,0.0,6000
WN,MDW,PIT,0,1066.6666,2018-12-26 06:55:00,4,06:55:00,415,2018-12-26 06:00:00,-2.7,4.8,0.0,10000
HA,HNL,SJC,0,4066.6667,2018-12-31 14:00:00,7,14:00:00,840,2018-12-31 14:00:00,21.9,16.6,0.1,6000
FL,FLL,ATL,0,1573.3334,2018-12-03 11:43:00,5,11:43:00,703,2018-12-03 11:00:00,24.2,12.2,0.0,10000
F9,DEN,PHF,1,2866.6667,2018-12-27 10:50:00,5,10:50:00,650,2018-12-27 10:00:00,-4.3,15.5,0.0,10000
9E,IND,MEM,0,1320.0,2018-12-06 08:05:00,7,08:05:00,485,2018-12-06 08:00:00,-1.6,13.9,0.0,6000
US,CLT,PHX,1,3720.0,2018-12-14 09:37:00,3,09:37:00,577,2018-12-14 09:00:00,6.8,15.3,0.4,6000
OO,MBS,ORD,0,1066.6666,2018-12-21 08:44:00,6,08:44:00,524,2018-12-21 08:00:00,2.8,10.0,0.3,6000
OH,STL,RDU,0,1613.3334,2018-12-27 07:00:00,5,07:00:00,420,2018-12-27 07:00:00,9.9,23.8,0.0,6000
US,PHX,MKE,0,2813.3333,2018-12-13 10:10:00,6,10:10:00,610,2018-12-13 10:00:00,7.5,7.6,0.0,8000
AA,DFW,MCI,0,1266.6666,2018-12-27 07:05:00,5,07:05:00,425,2018-12-27 07:00:00,13.4,3.1,0.0,6000
B6,LGB,AUS,1,2200.0,2018-12-11 12:00:00,1,12:00:00,720,2018-12-11 12:00:00,9.6,3.9,0.0,9000
AA,IAH,DFW,0,1000.0,2018-12-03 09:10:00,4,09:10:00,550,2018-12-03 09:00:00,10.6,14.1,0.0,10000
WN,LAS,SAN,1,866.6667,2018-12-02 14:50:00,1,14:50:00,890,2018-12-02 14:00:00,3.3,5.8,0.0,10000
AA,DFW,LAS,0,2400.0,2018-12-16 19:45:00,3,19:45:00,1185,2018-12-16 19:00:00,16.1,14.0,0.0,6000
OO,FAT,LAX,0,920.0,2018-12-27 18:02:00,7,18:02:00,1082,2018-12-27 18:00:00,7.8,10.6,0.0,8000
9E,MEM,ECP,0,1133.3334,2018-12-24 19:35:00,3,19:35:00,1175,2018-12-24 19:00:00,10.2,11.9,0.0,6000
OH,BOS,DCA,0,1466.6666,2018-12-25 15:35:00,1,15:35:00,935,2018-12-25 15:00:00,0.3,18.6,0.0,10000
FL,ACY,ATL,0,1600.0,2018-12-25 17:54:00,7,17:54:00,1074,2018-12-25 17:00:00,6.4276506323664755,12.220977384734137,0.15126751625449036,10000
EV,MEM,HSV,0,800.0,2018-12-19 19:40:00,4,19:40:00,1180,2018-12-19 19:00:00,13.9,10.6,0.0,6000
WN,MDW,PIT,0,1000.0,2018-12-05 14:00:00,5,14:00:00,840,2018-12-05 14:00:00,-3.8,13.6,0.0,6000
OH,IND,RDU,0,1400.0,2018-12-04 17:15:00,3,17:15:00,1035,2018-12-04 17:00:00,1.0,10.8,0.0,6000
WN,PHL,BOS,1,1066.6666,2018-12-15 17:45:00,2,17:45:00,1065,2018-12-15 17:00:00,10.7,15.3,1.0,4000
XE,XNA,IAH,0,1360.0,2018-12-03 15:16:00,1,15:16:00,916,2018-12-03 15:00:00,0.4,13.4,0.0,6000
DL,SEA,HNL,1,4946.6665,2018-12-15 17:05:00,2,17:05:00,1025,2018-12-15 17:00:00,4.8,7.1,0.0,8000
DL,DTW,LGA,0,1440.0,2018-12-03 12:00:00,5,12:00:00,720,2018-12-03 12:00:00,2.3,13.0,0.0,6000
